debit_memo,product,ndc,manufacturer,ask_price,received_price,Percentage Returned,Full/partial,Ask Date,Receive Date,Method,Confidence,Pharmacy Name,Status
DEL0623CYJ00597,Combivent Respimat,00597-0024-02,boehringer,361.53,443.51,122.70%,Full,09/10/2023,9/28/2025,NDC,HIGH,Park Drugs Inc,MATCHED
DEL0123CVU00185,metolazone 5mg 100tb bt,00185-0055-01,sandoz,179.03,49.04,27.40%,Full,01/20/2023,03/06/2023,Direct+NDC,HIGH,CureMed Pharmacy,MATCHED
DEL0123CVU00185,metolazone 5mg 100tb bt,00185-0055-01,sandoz,179.03,49.04,27.40%,Full,01/20/2023,03/06/2023,Direct+NDC,HIGH,CureMed Pharmacy,MATCHED
DEL0123CVU00185,metolazone 2.5mg 100tb bt,00185-5050-01,sandoz,157.56,45.37,28.80%,Partial,01/20/2023,03/06/2023,Direct+NDC,HIGH,CureMed Pharmacy,MATCHED
DEL0821CHK50474,neupro 4mg 30pat irt wcl us,50474-0804-03,ucb inc,627.55,641.24,102.20%,Full,07/01/2020,27-Sep-21,NDC,HIGH,Jefferson Valley Pharmacy,MATCHED
DEL1022CSE57237,duloxetine dr cap 60mg 30ct,57237-0019-30,rising pharma holdings inc,28.65,1.98,6.90%,Full,01/19/2023,12/05/2022,NDC,HIGH,Mark's Pharmacy,MATCHED
DEL0118ACX16571,ciprofloxacin ophthalmic 0.3% 5ml,16571-0120-50,rising pharma holdings inc,11.4,4.2,36.80%,Full,09/05/2018,07/19/2018,NDC,HIGH,Avella of Deer Valley; Inc. #38 (Happy V,MATCHED
DEL0118ADC16571,diclofenac sodium oph sol 0.1% 5.0ml,16571-0101-50,rising pharmaceuticals,47.35,13.53,28.60%,Full,10/01/2018,07/18/2018,NDC,HIGH,White Front Pharmacy,MATCHED
DEL0118ADC16571,diclofenac sodium oph sol 0.1% 5.0ml,16571-0101-50,rising pharmaceuticals,47.35,13.53,28.60%,Full,09/04/2018,07/18/2018,NDC,HIGH,West Knoll Pharmacy,MATCHED
DEL0119ASI00456,namenda xr 7mg cap 30,00456-3407-33,allergan,411.93,300.9,73.00%,Full,09/26/2018,02/25/2019,NDC,HIGH,Bright Plaza Pharmacy,MATCHED
DEL0119ASN00456,saphris 2.5mg tab 6x10,00456-2402-60,allergan,915.45,732.36,80.00%,Partial,10/01/2018,02/25/2019,NDC,HIGH,White Front Pharmacy,MATCHED
DEL0120BJM68462,verapamil hcl er tabs 120mg 100s,68462-0292-01,glenmark pharmaceuticals inc.; usa,17.86,6.81,38.10%,Full,09/04/2018,06/24/2020,NDC,HIGH,West Knoll Pharmacy,MATCHED
DEL0120BJM68462,mupirocin cream 2% 30gm,68462-0564-35,glenmark pharmaceuticals inc.; usa,236.67,236.67,100.00%,Full,01/20/2023,06/24/2020,NDC,HIGH,CureMed Pharmacy,MATCHED
DEL0120BJS61314,dorzolamide hcl 2% 10ml usa,61314-0019-10,sandoz,32.29,18.83,58.30%,Full,07/01/2020,05/27/2020,NDC,HIGH,Jefferson Valley Pharmacy,MATCHED
DEL0120BJS68462,nystatin-triam 100k unit/0.1% oint 30gm,68462-0799-35,glenmark pharmaceuticals inc.; usa,69.67,7.91,11.40%,Full,09/12/2018,06/24/2020,NDC,HIGH,J & J Pharmacy,MATCHED
DEL0120BJY68462,trospium chloride tablets 20mg 60s,68462-0461-60,glenmark pharmaceuticals inc.; usa,85.87,36.13,42.10%,Full,09/15/2020,08/07/2020,NDC,HIGH,S & K Warbasse Pharmacy,MATCHED
DEL0120BJZ68462,mometasone furoate ointment 0.1% 15gm,68462-0225-17,glenmark pharmaceuticals inc.; usa,6.99,2.77,39.60%,Full,05/08/2020,06/24/2020,NDC,HIGH,Dania Discount Drugs,MATCHED
