id,manufacturer_policy_id,destination,auto_ra_email,policy_number,policy_description,months_before_expiration,months_after_expiration,discount_rate,partials_accepted,partial_dosage_forms,reimbursement_type,created_at,updated_at,returnable_within_policy_period
01c7be8c-fd1f-41aa-94c2-8ce901f95c18,7d7e660f-987f-4599-9463-5f7039ce16d6,Inmar,saboor.malik772222@gmail.com,19,Id rerum enim volupt,6,6,1.0000,false,,per_item,2026-03-26 14:19:33.385374+00,2026-03-26 14:19:33.385374+00,true
092bd41d-9f23-4591-b153-961c0d9c4818,a0000001-0000-0000-0000-000000000001,inmar,,,,6,12,,false,,batch,2026-03-31 15:49:43.744746+00,2026-03-31 15:49:43.744746+00,true
0e4403f7-ca43-4723-a391-a2cb47fd3e9c,a0000001-0000-0000-0000-000000000002,qualanex,customerservice@qualanex.com,201,6 Months Prior to 6 Months Post Drug Expiration,6,6,0.4500,false,"[""TABLET"",""CAPSULE"",""SOLUTION""]",batch,2026-03-11 14:38:27.708899+00,2026-03-31 15:23:55.969385+00,true
342d2038-1878-4c2b-bb7d-45c2e3729784,a0000001-0000-0000-0000-000000000007,Inmar,ra-request@inmar.com,701,3 Months Prior to 6 Months Post Drug Expiration,3,6,0.6000,false,,batch,2026-03-11 14:38:27.708899+00,2026-03-30 15:57:52.069954+00,true
3ba1c051-e832-4875-a588-a2b4ab5ecbd1,a0000001-0000-0000-0000-000000000004,pharmalink,returns@pharmalink.com,401,6 Months Prior to 12 Months Post Drug Expiration,6,12,0.3500,false,"[""TABLET"",""CAPSULE"",""INJECTION"",""SOLUTION""]",per_item,2026-03-11 14:38:27.708899+00,2026-03-31 15:23:55.969385+00,true
456449fe-70cc-41b5-ad50-434c3f95f718,a0000001-0000-0000-0000-000000000008,pharmalink,returns@pharmalink.com,801,6 Months Prior to 12 Months Post Drug Expiration,6,12,0.4000,false,"[""TABLET"",""CAPSULE""]",per_item,2026-03-11 14:38:30.4785+00,2026-03-31 15:23:55.969385+00,true
47de195e-8002-41ac-a3a2-58783f962eb6,a0000001-0000-0000-0000-000000000003,Inmar,ra-request@inmar.com,301,6 Months Prior to 6 Months Post Drug Expiration,6,6,0.5000,false,,batch,2026-03-11 14:38:27.708899+00,2026-03-30 15:57:55.309638+00,true
49a010f6-541d-4146-a71a-8113133006ee,a0000001-0000-0000-0000-000000000009,qualanex,customerservice@qualanex.com,901,6 Months Prior to 6 Months Post Drug Expiration,6,6,0.5000,false,"[""TABLET""]",batch,2026-03-11 14:38:30.4785+00,2026-03-31 15:23:55.969385+00,true
51986623-4dfc-40ef-b680-6965359b8c75,a0000001-0000-0000-0000-000000000001,Inmar,ra-request@inmar.com,101,1 Months Prior to 1 Months Post Drug Expiration,1,1,0.5000,true,"[""TABLET"",""TABLET, DELAYED RELEASE"",""CAPSULE""]",batch,2026-03-11 14:38:27.708899+00,2026-03-31 19:28:42.946171+00,true
643d6314-cf2b-4431-ae83-312be2cac4cd,b3b6940b-737d-4145-970d-89914903f042,Inmar,saboor.malik77222@gmail.com,46,Aliquam quis amet r,6,6,0.0000,false,,per_item,2026-03-31 15:26:01.852681+00,2026-03-31 15:26:01.852681+00,true
